molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL165329,O=C(O)C(Cc1ccccc1)N(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccc(Cl)cc1Cl,1800.0,intermediate
CHEMBL164244,Cc1ccccc1S(=O)(=O)Nc1sc(-c2ccccc2)cc1C(=O)O,20000.0,inactive
CHEMBL165038,Cc1cc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c(C)cc1Cl,5400.0,intermediate
CHEMBL435857,Cc1cc(Cl)ccc1S(=O)(=O)Nc1cc(-c2ccccc2)sc1C(=O)O,750.0,active
CHEMBL352783,Cc1cccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c1,7400.0,intermediate
CHEMBL168047,Cc1ccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)cc1,4600.0,intermediate
CHEMBL354813,CC(=O)c1ccc(-c2cc(NS(=O)(=O)c3ccc(C)cc3C)c(C(=O)O)s2)cc1,390.0,active
CHEMBL349236,Cc1ccc(C)c(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c1,13000.0,inactive
CHEMBL351020,Cc1ccccc1S(=O)(=O)Nc1cc(-c2ccccc2)sc1C(=O)O,5200.0,intermediate
CHEMBL167790,Cc1ccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c(C)c1,1000.0,active
CHEMBL165438,O=C(O)c1sc(-c2ccccc2)cc1NS(=O)(=O)c1ccc(Cl)cc1,4100.0,intermediate
CHEMBL424014,Cc1cc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(N)=O)c(C)cc1Cl,14000.0,inactive
CHEMBL161693,CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)OC,50000.0,intermediate
CHEMBL434083,CC(=O)N[C@H](C(=O)[C@H](CCC(=O)O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)C(c1ccccc1)c1ccccc1,5300.0,inactive
CHEMBL2371298,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,16000.0,inactive
CHEMBL2371317,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,100000.0,intermediate
CHEMBL2371297,CC[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)CC)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,3280.0,inactive
CHEMBL350593,CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)C(C)C,16000.0,active
CHEMBL348944,CCC(C)[C@H](NC(=O)OCc1ccc(C(=O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,440.0,intermediate
CHEMBL162950,CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,9400.0,inactive
CHEMBL3348569,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)c1nnn[nH]1,50000.0,intermediate
CHEMBL163433,CCC(C)[C@H](NC(=O)OCc1ccc(C(=O)OC)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,1700.0,active
CHEMBL160018,CC(C)(C)OC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(F)F)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,300.0,inactive
CHEMBL349123,CC(=O)N[C@H](C(=O)[C@H](CCC(=O)O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)O)C(c1ccccc1)c1ccccc1,50000.0,inactive
CHEMBL2371316,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,15600.0,intermediate
CHEMBL164538,CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,1630.0,intermediate
CHEMBL351439,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,1400.0,active
CHEMBL2371300,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,1000.0,intermediate
CHEMBL352900,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,8900.0,intermediate
CHEMBL444346,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,1700.0,inactive
CHEMBL161803,CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(O)C(=O)O,50000.0,inactive
CHEMBL161665,CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(=O)O)CC(F)F,50000.0,active
CHEMBL352277,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,460.0,inactive
CHEMBL163864,CC(=O)N[C@H](C(=O)[C@H](CCC(=O)O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)CC(F)F)C(c1ccccc1)c1ccccc1,50000.0,intermediate
CHEMBL162162,CCC(C)[C@H](NC(=O)NCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,3300.0,intermediate
CHEMBL435648,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,2100.0,active
CHEMBL163917,CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,330.0,active
CHEMBL320324,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C1CCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,380.0,inactive
CHEMBL2371293,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CC(F)F,50000.0,intermediate
CHEMBL167707,Cc1ccc(C(=O)N(C)c2cc(-c3ccccc3)sc2C(=O)O)c(C)c1,1400.0,intermediate
CHEMBL353754,CC(C)N(C(=O)C1CCCCC1)c1cc(-c2ccccc2)sc1C(=O)O,9000.0,inactive
CHEMBL430270,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)[C@H](O)c2ccccc2)c(F)c1,100000.0,inactive
CHEMBL68314,CC(C)(C)[C@H](O)C(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,18000.0,active
CHEMBL68034,CC(C)COC(=O)N[C@H](C(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F)C(C)C,900.0,inactive
CHEMBL302364,CC(C)[C@H](O)C(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,18000.0,inactive
CHEMBL303619,CCC(CC)C(O)C(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,50000.0,intermediate
CHEMBL167521,Cc1ccc(S(=O)(=O)N(C)c2cc(-c3ccccc3)sc2C(=O)O)c(C)c1,5000.0,intermediate
CHEMBL354874,CCN(C(=O)c1ccc(C)cc1)c1cc(-c2ccccc2)sc1C(=O)O,2000.0,inactive
CHEMBL167791,Cc1cccc(C(=O)N(C)c2cc(-c3ccccc3)sc2C(=O)O)c1,50000.0,inactive
CHEMBL303953,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)[C@@H](O)c2ccccc2)c(F)c1,100000.0,intermediate
CHEMBL433526,Cc1ccc(C(=O)N(C)c2cc(-c3ccccc3)sc2C(=O)O)cc1,2000.0,intermediate
CHEMBL355048,CC(C)N(C(=O)c1ccc(Cl)cc1Cl)c1cc(-c2ccccc2)sc1C(=O)O,1200.0,inactive
CHEMBL69220,CC(C)[C@H](O)C(=O)N1C[C@H](OCCCc2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,11000.0,inactive
